household_id,UF,SITUACAO
120005984_2,12,1
120005984_3,12,1
120005984_4,12,1
120005984_5,12,1
120005984_6,12,1
120005984_7,12,1
120005984_9,12,1
120005984_11,12,1
120005984_12,12,1
120005984_13,12,1
120007729_1,12,1
120007729_2,12,1
120007729_3,12,1
120007729_4,12,1
120007729_6,12,1
120007729_7,12,1
120007729_9,12,1
120007729_12,12,1
120002639_2,12,1
120002639_3,12,1
120002639_6,12,1
120002639_7,12,1
120002639_12,12,1
120002639_13,12,1
120010070_1,12,1
120010070_2,12,1
120010070_3,12,1
120010070_4,12,1
120010070_6,12,1
120010070_7,12,1
120010070_8,12,1
120010070_9,12,1
120010070_10,12,1
120010070_11,12,1
120010070_13,12,1
120007498_1,12,1
120007498_2,12,1
120007498_3,12,1
120007498_4,12,1
120007498_5,12,1
120007498_6,12,1
120007498_8,12,1
120007498_9,12,1
120007498_10,12,1
120007498_11,12,1
120007498_12,12,1
120001677_1,12,1
120001677_2,12,1
120001677_4,12,1
120001677_5,12,1
120001677_7,12,1
120001677_8,12,1
120001677_10,12,1
120001677_11,12,1
120001677_12,12,1
120001677_13,12,1
120004748_1,12,1
120004748_2,12,1
120004748_3,12,1
120004748_4,12,1
120004748_6,12,1
120004748_7,12,1
120004748_8,12,1
120004748_9,12,1
120004748_10,12,1
120004748_11,12,1
120004748_12,12,1
120009721_2,12,1
120009721_3,12,1
120009721_4,12,1
120009721_5,12,1
120009721_8,12,1
120009721_9,12,1
120009721_10,12,1
120009721_11,12,1
120009721_13,12,1
120001261_1,12,1
120001261_2,12,1
120001261_3,12,1
120001261_5,12,1
120001261_6,12,1
120001261_7,12,1
120001261_8,12,1
120001261_9,12,1
120001261_10,12,1
120001261_12,12,1
120001261_13,12,1
120005116_1,12,2
120005116_2,12,2
120005116_3,12,2
120005116_4,12,2
120005116_5,12,2
120005116_6,12,2
120005116_7,12,2
120005116_8,12,2
120005116_9,12,2
120005116_10,12,2
120005116_11,12,2
120005116_12,12,2
120005116_13,12,2
120005116_15,12,2
120005116_16,12,2
120005116_17,12,2
120009142_1,12,1
120009142_2,12,1
120009142_3,12,1
120009142_4,12,1
120009142_6,12,1
120009142_8,12,1
120009142_9,12,1
120009142_11,12,1
120009142_12,12,1
120009142_13,12,1
120007442_3,12,1
120007442_4,12,1
120007442_5,12,1
120007442_6,12,1
120007442_7,12,1
120007442_9,12,1
120007442_10,12,1
120007442_11,12,1
120007442_12,12,1
120004805_4,12,1
120004805_5,12,1
120004805_6,12,1
120004805_7,12,1
120004805_8,12,1
120004805_10,12,1
120004805_11,12,1
120004805_12,12,1
120004805_13,12,1
120002337_1,12,1
120002337_3,12,1
120002337_4,12,1
120002337_5,12,1
120002337_6,12,1
120002337_7,12,1
120002337_8,12,1
120002337_9,12,1
120002337_10,12,1
120002337_11,12,1
120002337_12,12,1
120002337_13,12,1
120007442_1,12,1
120007442_2,12,1
120004805_1,12,1
120004805_2,12,1
120004805_3,12,1
120006313_1,12,1
120006313_2,12,1
120006313_4,12,1
120006313_5,12,1
120006313_7,12,1
120006313_8,12,1
120006313_9,12,1
120006313_10,12,1
120006313_12,12,1
120001234_1,12,1
120001234_2,12,1
120001234_4,12,1
120001234_7,12,1
120001234_8,12,1
120001234_10,12,1
120001234_11,12,1
120001234_13,12,1
120006396_2,12,2
120006396_3,12,2
120006396_4,12,2
120006396_5,12,2
